Nom|Autor|Puntuacio|Num_resenyes|Categoria|Preu|Paginas|Editor|Idioma|ISBN-10|ISBN-13|Coleccion|Edad recomendada
Loba negra (La Trama)|Juan Gómez-Jurado|4,7 de un máximo de 5 estrellas|1.729|Tapa dura|19,85 €|552 páginas|B (Ediciones B); Edición: 001 (24 de octubre de 2019)|Español|8466666494|978-8466666497||
Y Julia retó a los dioses (Autores Españoles e Iberoamericanos)|Santiago Posteguillo|4,5 de un máximo de 5 estrellas|34|Tapa dura|21,75 €|792 páginas|Editorial Planeta (3 de marzo de 2020)|Español|8408224697|978-8408224693||
Aprende a escribir los números: Ejercicios de escritura: números y cuentas: Preescolar y Primaria: “D” de DINOSAURIO: Cuaderno de actividades para ... y niñas de educación infantil (3 a 5 años)|June & Lucy Kids|4,5 de un máximo de 5 estrellas|7|Tapa blanda|5,69 €|86 páginas|June & Lucy (14 de octubre de 2019)|Español|1646080750|978-1646080755||
Lecturas comprensivas RUBIO +7: 2|SLU ENRIQUE RUBIO POLO|4,3 de un máximo de 5 estrellas|23|Tapa blanda|1,85 €|40 páginas|Ediciones Técnicas Rubio - Editorial Rubio; Edición: 1 (28 de febrero de 2018)|Español|8494727575|978-8494727573||
101 casos extraordinarios para resolver en 5 minutos (Serie ¿Quién ha sido? 1)|Varios autores|4,4 de un máximo de 5 estrellas|136|Tapa blanda|12,30 €|192 páginas|Alfaguara Infantil Y Juvenil; Edición: 001 (14 de mayo de 2015)|Español|8420488283|978-8420488288||7 años y más
Diario de Greg 4: días de perros: 000|Jeff Kinney|4,6 de un máximo de 5 estrellas|262|Tapa dura|14,25 €|218 páginas|Molino (25 de mayo de 2010)|Español|9788427200302|978-8427200302||8 - 12 años
Dia De Los Muertos: Libro De Colorear Para Adultos: Calaveras de azúcar (Día de los Muertos)|Papeterie Bleu|4,7 de un máximo de 5 estrellas|80|Tapa blanda|6,59 €|70 páginas|CreateSpace Independent Publishing Platform (2 de junio de 2016)|Español|1533508240|978-1533508249||
Manual para defenderte de una feminazi: y otros asuntos de alta necesidad|Cristina Seguí|3,9 de un máximo de 5 estrellas|336|Tapa blanda|16,05 €|198 páginas|Editorial Samarcanda (5 de marzo de 2019)|Español|8417672451|978-8417672454||
Iniciación a la lectura RUBIO +5: 2|SLU ENRIQUE RUBIO POLO|4,5 de un máximo de 5 estrellas|103|Tapa blanda|1,85 €|28 páginas|Ediciones Técnicas Rubio - Editorial Rubio; Edición: 1 (28 de febrero de 2017)|Español|8494727559|978-8494727559||
Te quiero un montón (Castellano - A PARTIR DE 3 AÑOS - CUENTOS - ChiquiCuentos)|Juan Carlos Chandro|4,8 de un máximo de 5 estrellas|462|Tapa dura|5,65 €|32 páginas|Grupo Anaya Publicaciones Generales; Edición: edición (3 de marzo de 2016)|Español|846960600X|978-8469606001||3 años y más
Todas para una (Serie Ideas en la casa del árbol. Volumen 1): Novela infantil-juvenil. Lectura de 8-9 a 11-12 años. Literatura Ficción. Libros para niñas y niños. (Spanish Edition)|W. Ama|4,6 de un máximo de 5 estrellas|225|Tapa blanda|9,95 €|173 páginas|Independently published (7 de junio de 2018)|Español|1973477327|978-1973477327||
Una historia de España (Hispánica)|Arturo. Pérez-Reverte|4,5 de un máximo de 5 estrellas|819|Tapa dura|17,95 €|256 páginas|ALFAGUARA; Edición: 001 (14 de marzo de 2019)|Español|8420438170|978-8420438177||
Patria (Andanzas)|Fernando Aramburu|4,6 de un máximo de 5 estrellas|2.014|Tapa blanda|21,75 €|648 páginas|Tusquets Editores S.A.; Edición: 01 (6 de septiembre de 2016)|Español|849066319X|978-8490663196||
Cuentos Clásicos (Cuentos clásicos con pictogramas)|Susaeta Ediciones|4,8 de un máximo de 5 estrellas|11|Tapa dura|2,80 €|24 páginas|SUSAETA; Edición: 1 (9 de enero de 2019)|Español|8467765321|978-8467765328||4 años y más
La madre de Frankenstein (Andanzas)|Almudena Grandes|4,6 de un máximo de 5 estrellas|112|Tapa blanda|21,75 €|560 páginas|Planeta (4 de febrero de 2020)|Español|8490667802|978-8490667804||
El Principito (Infantil)|Antoine De Saint Exupery|4,7 de un máximo de 5 estrellas|1.079|Tapa blanda|5,65 €|96 páginas|Salamandra; Edición: 036 (18 de enero de 2008)|Español|8498381495|978-8498381498||7 - 13 años
Harry Potter y la Piedra Filosofal: 1|J.K. Rowling|4,7 de un máximo de 5 estrellas|1.211|Tapa dura|14,25 €|256 páginas|Salamandra; Edición: 081 (25 de marzo de 1999)|Español|8478884459|978-8478884452||9 años y más
Isadora Moon se mete en un lío (Isadora Moon)|Harriet Muncaster|4,7 de un máximo de 5 estrellas|146|Tapa blanda|9,45 €|128 páginas|ALFAGUARA; Edición: 001 (5 de octubre de 2017)|Español|8420486329|978-8420486321||7 años y más
Los Futbolísimos.El misterio de los árbitros dormidos: 1|Roberto Santiago|4,7 de un máximo de 5 estrellas|205|Tapa blanda|11,35 €|296 páginas|SM (16 de mayo de 2013)|Español|8467561351|978-8467561357||
100 Animal Mandalas Para Colorear: Libro para colorear para adultos con patrones de animales y mandalas (¡Leones, elefantes, búhos, caballos, perros, gatos y muchos más!)|Creative Mandala|4,2 de un máximo de 5 estrellas|5|Tapa blanda|8,39 €|204 páginas|Independently published (11 de marzo de 2020)|Español||979-8623706577||
Mandalas Complejos: Libro De Colorear Para Adultos|Papeterie Bleu|4,5 de un máximo de 5 estrellas|260|Tapa blanda|6,59 €|86 páginas|CreateSpace Independent Publishing Platform (30 de junio de 2016)|Español|1535004150|978-1535004152||
Aprender a escribir números: Aprender a escribir los numeros para niños - Libro infantiles para la escuela primaria - Juego educativo matemàticas - Cuentos infantiles|Preschool kidilix|4,8 de un máximo de 5 estrellas|12|Tapa blanda|9,49 €|96 páginas|Independently published (26 de septiembre de 2019)|Español|1695493826|978-1695493827||
Los Futbolísimos.El misterio del robo imposible|Roberto Santiago|4,7 de un máximo de 5 estrellas|91|Tapa blanda|11,35 €|336 páginas|SM (5 de noviembre de 2014)|Español|8467574151|978-8467574159||10 - 12 años
Mi cuaderno de actividades: 5 - 6 años (edición exclusiva) (Rubio. El arte de aprender)|Cuadernos Rubio Cuadernos Rubio|4,4 de un máximo de 5 estrellas|16|Artículos de papelería|9,40 €||Ilustrados; Edición: 001 (7 de mayo de 2015)|Español|8416220603|978-8416220601||4 - 6 años
El infinito en un junco: La invención de los libros en el mundo antiguo: 105 (Biblioteca de Ensayo / Serie mayor)|Irene Vallejo|4,8 de un máximo de 5 estrellas|66|Tapa blanda|23,70 €|452 páginas|Siruela; Edición: 10 (23 de marzo de 2020)|Español|8417860797|978-8417860790||
Los Futbolísimos.El misterio del castillo embrujado|Roberto Santiago|4,8 de un máximo de 5 estrellas|92|Tapa blanda|11,35 €|320 páginas|SM; Edición: 1 (8 de abril de 2015)|Español|846757769X|978-8467577693||10 - 12 años
El poder del ahora: una guía para la iluminación espiritual (Perenne)|Eckhart Tolle|4,5 de un máximo de 5 estrellas|1.260|Tapa blanda|9,50 €|220 páginas|Gaia; Edición: 16 (2013)|Español|8484452069|978-8484452065||
Stilton: En el reino de la fantasía: ¡Libro con olores!: 2 (Geronimo Stilton)|Geronimo Stilton|4,5 de un máximo de 5 estrellas|179|Tapa dura|18,95 €|384 páginas|Planeta; Edición: decima (3 de noviembre de 2005)|Español|8408060996|978-8408060994||7 años y más
Búnker: Memorias de encierro, rimas y tiburones blancos.|Toteking|4,9 de un máximo de 5 estrellas|24|Tapa dura|18,90 €|232 páginas|Blackie Books (4 de marzo de 2020)|Español|8417552812|978-8417552817||
Diario de Greg 14. Arrasa con todo|Jeff Kinney|4,8 de un máximo de 5 estrellas|253|Tapa dura|14,25 €|224 páginas|RBA Molino (6 de noviembre de 2019)|Español|8427216742|978-8427216747||
Rubio C-7 - Cuaderno caligrafía|Ramón Rubio Silvestre|4,8 de un máximo de 5 estrellas|27|Tapa blanda|2,84 €|20 páginas|Rubio; Edición: 1 (1 de enero de 1996)|Español|8485109309|978-8485109302||
El Pollo Pepe + muñeco (El pollo Pepe y sus amigos)|Nick Denchfield|4,8 de un máximo de 5 estrellas|430|Tapa dura|16,15 €|12 páginas|S.M. Editorial (15 de noviembre de 2012)|Español|8467559160|978-8467559163||1 - 2 años
Lecturas comprensivas RUBIO +6: 2|SLU ENRIQUE RUBIO POLO|4,6 de un máximo de 5 estrellas|56|Tapa blanda|1,85 €|32 páginas|Ediciones Técnicas Rubio - Editorial Rubio; Edición: 1 (28 de febrero de 2018)|Español|8494727567|978-8494727566||
